"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"233","fire",41.08,-123.6886,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"234","fire",41.08,-123.6886,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"235","fire",41.1167,-123.6878,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"236","fire",41.0714,-123.6872,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"237","fire",41.0628,-123.6906,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"238","fire",41.0769,-123.6881,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"239","fire",41.0703,-123.6872,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"240","fire",41.0797,-123.6878,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"241","fire",41.0658,-123.6881,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"242","fire",41.0658,-123.6881,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"243","fire",41.0689,-123.6889,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"244","fire",41.0742,-123.6872,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"245","fire",41.0794,-123.6878,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"246","fire",41.0794,-123.6878,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"247","fire",41.0819,-123.6906,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"248","fire",41.0561,-123.6875,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"249","fire",41.0783,-123.6881,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"250","fire",41.0733,-123.6872,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"251","fire",41.0733,-123.6872,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"252","fire",41.0772,-123.6889,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"253","fire",41.0783,-123.69,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"254","fire",41.0839,-123.6886,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"255","fire",41.0494,-123.6906,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"256","fire",41.0775,-123.6875,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"257","fire",41.08,-123.6886,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"258","fire",41.0786,-123.6881,1.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"259","fire",41.08,-123.6883,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"260","fire",41.0719,-123.6875,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"261","fire",41.0575,-123.6886,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"262","fire",41.0811,-123.6892,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"263","fire",41.08,-123.6892,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"264","fire",41.0803,-123.6883,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"265","fire",41.0769,-123.6875,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
